Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location
,25,16,31305,,89.74,86.34,No,No,Yes,,No,Wealthy,No
0.77,30,13,30361,Brass,99.92,42.49,No,No,No,Roadways,No,Working Class,No
0.2,9,4,9739,,18.23,79.83,No,No,No,Roadways,No,Working Class,No
0.73,12,6,23126,Stone,163.64,32.31,No,No,No,Roadways,No,Working Class,No
0.81,21,6,8356,Brass,8.56,92.31,No,Yes,No,,No,Working Class,No
0.52,12,6,,Wood,5.29,23.71,No,No,No,Airways,No,Working Class,
0.29,10,4,8872,Stone,7.67,67.63,Yes,No,Yes,,No,Working Class,No
0.21,15,,45965,Stone,188.55,99.1,Yes,No,Yes,,No,Working Class,No
0.59,23,11,476719,Marble,2694.37,40.36,No,No,No,Roadways,No,Working Class,No
0.29,13,8,164,Wood,4.52,24.03,Yes,No,No,Waterways,No,Working Class,
0.27,4,4,171,Brass,3.22,11.43,No,No,No,Roadways,No,Working Class,No
,21,7,,Bronze,30.06,22.88,Yes,Yes,No,,No,Wealthy,Yes
,,11,244,Wood,5.98,18.57,Yes,No,Yes,Roadways,No,Working Class,No
0.23,15,6,36904,Marble,132.02,57.31,Yes,No,No,Airways,No,Working Class,Yes
0.63,33,,84689,Brass,311.59,92.11,No,No,No,Roadways,No,Wealthy,No
0.38,5,5,41,Wood,5.08,21.46,No,No,Yes,Roadways,No,Working Class,No
0.29,11,7,59056,Stone,124.57,87.48,No,No,No,Roadways,No,Working Class,No
,20,8,10532,Brass,7.39,84.79,No,No,No,Roadways,No,Working Class,Yes
0.94,,14,2254,Aluminium,5.75,24.15,No,Yes,No,Airways,No,Wealthy,No
0.69,11,7,2027,Brass,3.72,17.39,Yes,No,Yes,Airways,No,Working Class,
0.46,7,5,483,Bronze,4.42,11.21,No,No,No,Roadways,No,Wealthy,No
,3,3,242,Marble,3.82,23.65,Yes,No,Yes,Waterways,No,Working Class,No
0.4,30,14,38846,Brass,42.12,80.53,No,Yes,No,,No,Wealthy,No
0.12,33,12,676,Wood,3.48,18.76,No,No,Yes,Roadways,No,Working Class,No
0.92,35,7,276869,Marble,1749.03,37.63,No,No,No,Waterways,No,Wealthy,No
0.38,32,10,2493,Clay,5.56,12.45,Yes,No,Yes,Waterways,Yes,Working Class,No
,32,,,Brass,294.4,37.46,No,No,No,,No,Working Class,No
0.8,33,17,1142570,Marble,1751.41,86.49,No,Yes,No,Airways,No,Working Class,No
0.45,,,429,Wood,5.79,20.36,No,Yes,Yes,Roadways,No,Working Class,No
0.62,20,10,7129,Bronze,33.86,29.49,Yes,Yes,Yes,Airways,No,Wealthy,Yes
,26,6,129309,Marble,812.21,62.72,No,No,No,,No,Working Class,
,30,8,,,3.08,17.72,No,No,No,Airways,No,Working Class,Yes
0.71,,,312444,,2546.03,80.89,No,Yes,Yes,Roadways,No,Wealthy,
,29,21,4618056,Stone,18975.45,30.52,Yes,Yes,No,Airways,No,Wealthy,No
0.17,13,7,33635,Marble,140.32,48.12,Yes,No,No,,No,Working Class,No
,12,8,515,Clay,6.86,20.22,No,No,No,Waterways,Yes,Working Class,
0.81,13,7,66230,Stone,365.42,86.13,No,Yes,No,Roadways,No,Working Class,
0.55,18,6,128,Wood,3.72,16.37,No,Yes,No,Airways,No,Wealthy,No
0.07,42,14,56495,Bronze,86.23,47.06,No,No,No,Waterways,No,Working Class,No
0.08,4,,39,Clay,5.47,21.85,No,No,No,Roadways,Yes,Working Class,No
0.32,29,14,19595,Bronze,41.85,41.92,No,No,Yes,Roadways,No,Working Class,Yes
,5,5,1392,Marble,3.81,21.83,No,Yes,No,Roadways,No,Wealthy,
0.98,13,7,415,Aluminium,6.74,14.19,No,No,Yes,,No,Working Class,No
,25,11,189314,Marble,334.69,60.63,Yes,No,No,,No,Wealthy,Yes
0.33,11,8,139,Wood,6.73,11.51,No,Yes,No,Airways,No,Working Class,
0.72,57,19,9502360,Marble,33271.54,87.68,No,No,No,Waterways,Yes,Working Class,No
0.63,12,8,3237,Brass,14.46,11.44,No,Yes,Yes,Roadways,No,Wealthy,No
0.13,33,19,808,Wood,3.78,24.5,No,No,Yes,Roadways,No,Working Class,No
0.31,4,3,590,Stone,6.59,16.33,No,No,No,Waterways,No,Working Class,Yes
0.1,38,12,1769081,Stone,467.75,80.17,No,No,Yes,Roadways,No,Wealthy,No
0.82,16,8,,Bronze,9.51,16.02,No,No,No,Roadways,No,Working Class,
0.53,5,3,875,Marble,5.48,12.91,No,Yes,No,Roadways,No,Working Class,No
0.19,25,12,503,Wood,3.48,23.6,No,No,Yes,Roadways,No,Working Class,No
0.74,23,6,6575,Brass,42.11,67.54,No,Yes,No,Roadways,No,Working Class,
0.09,25,15,912267,Marble,420.36,29.38,Yes,No,No,Waterways,No,Working Class,No
0.49,38,,,,9.47,41.23,No,Yes,Yes,Roadways,Yes,Wealthy,Yes
0.16,4,3,437,Marble,5.38,22.96,Yes,No,Yes,Waterways,No,Wealthy,No
0.35,,8,277,Aluminium,5.51,14.83,No,No,No,Roadways,No,Wealthy,No
0.19,20,6,478,Aluminium,4.2,15,No,No,Yes,Roadways,No,Working Class,No
0.58,43,9,525172,Marble,1665.64,86.7,No,No,No,Roadways,Yes,Working Class,No
0.39,37,13,36871,Bronze,238.59,70.17,Yes,No,Yes,,No,Working Class,No
0.51,44,15,28896,Bronze,113.83,38.39,Yes,No,Yes,Airways,No,Wealthy,No
0.16,35,14,25481,Brass,83.03,93.53,No,No,No,Roadways,No,Working Class,No
0.54,26,7,240565,Stone,140.4,88.5,No,No,Yes,Roadways,No,Working Class,Yes
0.9,16,6,2176,Bronze,4.29,20,Yes,No,No,Waterways,No,Working Class,Yes
0.18,17,11,,Wood,5.2,23.43,No,No,No,Roadways,No,Working Class,No
,27,16,17205,Bronze,17.58,40.8,Yes,No,No,,No,Working Class,No
0.54,13,6,,Brass,6.23,12.18,Yes,No,Yes,,No,Working Class,No
,3,3,216,Stone,6.77,11.76,Yes,Yes,Yes,Airways,No,Working Class,No
0.82,3,3,314,Marble,3.55,24.2,No,No,Yes,Roadways,No,Working Class,No
0.73,19,6,154,Wood,6.16,11.01,No,Yes,No,Airways,No,Wealthy,No
0.52,3,2,25,Clay,6.36,21.08,Yes,No,No,Roadways,Yes,Working Class,No
0.49,23,7,617,Aluminium,4.26,23.06,No,Yes,No,Roadways,No,Wealthy,Yes
0.02,6,5,508,Bronze,5.85,20.62,Yes,No,Yes,Waterways,No,Working Class,No
0.36,4,3,387,Marble,6.25,18.06,Yes,No,No,Waterways,No,Working Class,No
0.64,59,21,1934,,6.45,19.11,No,No,Yes,,No,Working Class,
0.34,21,,588,,5.73,19.15,Yes,No,No,Waterways,No,Working Class,No
0.73,5,4,2625,Stone,26.18,16.33,No,Yes,No,Airways,No,Wealthy,No
0.52,16,8,783,Clay,3.78,20.58,Yes,No,No,Waterways,Yes,Working Class,No
0.99,48,21,27317777,Stone,38586.85,34.45,No,No,Yes,Roadways,No,Working Class,No
0.69,15,6,2533,Brass,10.08,16.87,No,No,No,Roadways,No,Working Class,Yes
,17,10,2469,Bronze,4.12,18.28,Yes,Yes,No,,No,Working Class,No
0.64,19,6,3652,,6.83,13.29,No,No,No,,No,Working Class,No
0.52,,8,,,168.22,50.17,Yes,Yes,Yes,Airways,No,Wealthy,No
0.25,14,8,56028,Marble,234.5,47.78,Yes,No,No,Roadways,No,Working Class,No
0.53,,6,2898,,3.92,19.48,Yes,No,No,Waterways,No,Working Class,
0.84,28,14,1715179,,2044.76,65.28,Yes,Yes,No,,No,Wealthy,
,18,13,,Wood,3.57,21.28,No,Yes,No,,No,Wealthy,No
0.37,29,10,18390,Bronze,58.97,31.69,Yes,Yes,No,Airways,No,Working Class,Yes
,4,4,35,Aluminium,5.99,17.83,Yes,No,Yes,Roadways,No,Working Class,
0.54,,,139361,Marble,100.73,27.84,No,No,Yes,Airways,No,Working Class,Yes
0.26,16,6,285,,3.6,17.56,Yes,No,Yes,Airways,No,Wealthy,No
,24,6,209,Wood,5.11,15.74,No,Yes,Yes,,No,Working Class,
0.36,,16,1605514,Marble,7259.52,52.11,No,No,No,Roadways,No,Working Class,No
0.86,14,,546,,6.12,17.33,No,Yes,No,,Yes,Working Class,
0.74,34,15,50234,Brass,307.44,59.8,Yes,No,No,Waterways,No,Working Class,No
0.31,,8,181,Aluminium,4.93,19.23,Yes,No,No,,No,Working Class,No
0.58,8,5,153,Aluminium,4.92,15.85,No,No,Yes,Roadways,No,Wealthy,
0.12,26,13,13110,Bronze,54.91,99.8,Yes,Yes,Yes,Airways,No,Working Class,No
0.63,13,6,37126,Stone,51.25,67.78,No,No,Yes,Airways,No,Working Class,Yes
0.47,19,7,4222,Brass,5.64,13.4,Yes,No,Yes,Airways,No,Working Class,No
,35,12,7955,Clay,29.49,56.22,Yes,No,No,,Yes,Working Class,No
0.23,20,10,11911,Bronze,7.12,92.25,No,No,No,Roadways,No,Working Class,
0.52,13,7,87279,Stone,330.95,51.37,No,No,No,Waterways,No,Working Class,No
0.33,31,6,2696,Clay,6.06,21.77,No,Yes,No,,Yes,Wealthy,No
0.73,18,10,,Bronze,23.61,26.55,Yes,No,No,Waterways,No,Working Class,
0.39,27,14,507,Wood,3.8,21.36,No,Yes,Yes,Roadways,No,Working Class,Yes
0.74,8,5,1038,Brass,7.82,21.47,No,No,No,Roadways,No,Wealthy,No
0.17,28,14,,Marble,4894.62,94.49,Yes,Yes,No,Airways,No,Working Class,Yes
0.67,42,8,26154,Bronze,44.97,93.86,No,No,Yes,,No,Working Class,
0.38,5,3,21,Wood,4.38,17.55,Yes,Yes,No,,No,Wealthy,No
0.5,48,18,1353,Wood,9.85,23.89,No,No,Yes,Roadways,No,Working Class,
0.73,37,21,,Marble,3995.91,72.61,Yes,No,Yes,Airways,Yes,Working Class,No
0.46,12,7,880,Clay,4.95,17.35,Yes,Yes,No,Airways,Yes,Working Class,Yes
0.68,9,5,257,Clay,3.27,15.84,No,Yes,No,Roadways,Yes,Working Class,No
0.38,12,6,1921,Brass,4.54,24.3,No,No,Yes,Roadways,No,Working Class,No
0.23,22,7,6720,Brass,5.67,88.98,Yes,Yes,No,Airways,No,Working Class,No
0.35,21,12,200288,Marble,453.81,98.8,No,No,No,Roadways,No,Wealthy,
0.11,16,8,286,Wood,3,11.92,No,No,No,Roadways,No,Wealthy,No
0.45,36,20,1243,Wood,3.74,18.2,Yes,Yes,No,Airways,No,Wealthy,No
0.14,8,4,112,Aluminium,6.95,24.74,No,Yes,Yes,Roadways,No,Wealthy,No
0.22,27,13,24822,Bronze,90.71,82.5,No,No,No,Airways,No,Working Class,No
0.13,12,8,2296,Brass,8.03,19.64,Yes,Yes,No,Airways,No,Wealthy,No
0.78,13,6,112,Aluminium,6.05,11.53,No,Yes,Yes,Airways,No,Wealthy,No
0.26,18,7,227,Wood,6.16,16.78,Yes,No,Yes,Roadways,No,Working Class,No
0.3,5,5,100,Clay,5.95,18.31,Yes,Yes,No,Airways,Yes,Wealthy,Yes
0.81,10,5,1410,Brass,6.46,12.25,No,Yes,Yes,Roadways,No,Wealthy,Yes
0.56,5,3,35,Wood,4.15,17.56,No,Yes,Yes,Roadways,No,Wealthy,Yes
0.58,16,6,660,Clay,5.5,14.15,No,No,Yes,,Yes,Working Class,No
0.1,28,9,418,Wood,6.24,17.11,No,No,No,,No,Working Class,
0.05,24,8,824,Aluminium,5.16,18.83,No,No,No,Airways,No,Working Class,No
0.81,28,19,266,Wood,3.04,23.4,No,No,Yes,Airways,No,Working Class,No
0.03,,8,7572,Brass,11.88,85.5,No,No,Yes,Roadways,No,Working Class,
,25,13,9314,Brass,22.2,73.47,Yes,Yes,No,Airways,No,Wealthy,
0.81,24,10,746952,Stone,2099.37,82.08,No,No,No,Waterways,No,Working Class,No
0.39,15,7,935,Clay,3.92,24.38,Yes,No,Yes,Waterways,Yes,Working Class,No
0.49,13,7,926,Clay,5.65,24.5,Yes,No,Yes,Airways,Yes,Working Class,Yes
0.95,13,7,32136,Marble,51.32,69.07,No,No,No,Waterways,No,Working Class,Yes
0.06,33,11,796617,Stone,1159.26,73.48,Yes,Yes,No,Airways,No,Working Class,No
0.11,36,6,108,Wood,6.12,14.49,Yes,No,No,Waterways,No,Working Class,No
0.4,10,4,216,Clay,5.65,11.5,No,No,Yes,Waterways,Yes,Working Class,No
0.14,34,16,2470,Aluminium,5.17,10.14,No,Yes,Yes,,No,Wealthy,No
,3,3,43,Bronze,6.21,19.15,No,Yes,No,Airways,No,Working Class,No
0.69,17,6,961,Bronze,4.91,13.01,No,No,Yes,Roadways,No,Working Class,No
0.37,17,8,65266,Stone,140.77,47.78,No,No,No,Waterways,No,Working Class,No
0.43,35,,,Stone,41709.75,45.99,No,Yes,Yes,Roadways,No,Wealthy,Yes
0.64,21,7,952,Clay,6.22,18.46,No,Yes,No,Airways,Yes,Working Class,No
0.18,8,4,410,Bronze,5.17,10.94,Yes,Yes,No,Airways,No,Working Class,No
,20,15,,Stone,5504.54,88.76,No,No,No,,No,Working Class,No
0.59,12,8,72044,Stone,216.85,58.25,No,Yes,Yes,,No,Working Class,No
0.35,21,12,1600,Clay,4.36,24.09,No,No,Yes,Roadways,Yes,Wealthy,Yes
,28,8,179951,Marble,200.41,77.74,No,Yes,No,,No,Working Class,
0.43,19,8,97646,Marble,200.07,66.55,No,No,No,Airways,No,Working Class,No
0.09,,19,5291038,Marble,18791.71,88.87,No,No,No,,Yes,Working Class,No
,37,10,28654,Bronze,203,44.12,No,Yes,Yes,,No,Working Class,No
0.18,,4,81,,6.09,20.18,No,Yes,No,,Yes,Wealthy,No
0.77,4,4,34,Clay,6.92,10.52,No,Yes,No,Roadways,Yes,Working Class,No
,19,,339901,Stone,225.22,52.14,No,No,Yes,,No,Working Class,No
0.26,36,14,88771,,123.98,86.28,No,No,Yes,,No,Wealthy,No
0.58,22,,345,Wood,5.21,23.43,Yes,No,Yes,,No,Working Class,No
0.93,28,8,8323,Bronze,97.9,62.67,No,Yes,No,Airways,No,Wealthy,No
0.04,18,,47782,Marble,154.26,37.48,No,Yes,No,Airways,No,Working Class,No
0.64,7,5,120,Clay,3.53,20.75,No,No,No,Airways,Yes,Working Class,Yes
0.32,11,6,16234,Marble,13.68,28.37,No,No,Yes,Airways,No,Working Class,
0.65,15,8,1310,Clay,6.22,20.44,Yes,No,Yes,,Yes,Working Class,No
0.35,25,8,13489,Brass,45.31,86.34,No,No,No,,No,Working Class,No
,5,4,,,5.55,14.06,No,Yes,No,Roadways,No,Working Class,No
,7,,76,Aluminium,5.6,12.86,No,No,Yes,Roadways,No,Working Class,No
0.65,6,5,,,13.81,11.69,No,No,No,Waterways,No,Wealthy,No
0.16,8,5,,Brass,4.64,22.96,No,No,No,Waterways,No,Working Class,No
0.12,36,11,644,Wood,4.65,20.02,No,No,Yes,Roadways,No,Working Class,No
0.51,33,17,,Bronze,114.49,27.48,No,No,No,Roadways,No,Working Class,No
0.89,18,8,6537,Brass,10.74,61.43,No,Yes,Yes,,No,Working Class,No
0.79,24,19,890596,Marble,4723.58,57.37,Yes,No,Yes,Waterways,No,Working Class,
0.35,34,17,,Bronze,67.38,94.16,No,Yes,No,Roadways,No,Working Class,
0.59,10,4,,Stone,33.3,60.32,Yes,Yes,Yes,,No,Working Class,Yes
0.11,12,8,5011,Brass,9.88,53.71,Yes,No,Yes,Waterways,No,Working Class,No
0.68,10,4,3734,Marble,5.09,13.92,No,No,Yes,Airways,No,Working Class,No
0.52,17,9,114716,Marble,292.86,32.27,Yes,No,Yes,Airways,No,Working Class,No
0.57,26,14,916374,Marble,1395.66,91.66,No,Yes,No,Roadways,No,Wealthy,No
0.51,7,5,83,Aluminium,6.87,11.5,No,Yes,No,Airways,No,Wealthy,Yes
0.51,26,19,8651,Clay,16.27,95.78,Yes,No,No,,Yes,Working Class,Yes
0.85,22,10,7610,Brass,10.87,81.8,No,Yes,No,Roadways,No,Working Class,No
0.21,4,3,302,Marble,5.3,24.29,No,Yes,No,Roadways,No,Working Class,No
,,6,,Stone,79.26,73.58,Yes,No,Yes,Waterways,No,Working Class,
0.48,20,11,799159,Stone,1263.32,29.83,No,Yes,No,Roadways,No,Wealthy,No
0.62,23,6,6640,Brass,12.59,63.22,No,No,Yes,Roadways,No,Working Class,No
0.14,38,22,1342220,Marble,2297.62,68.06,No,No,No,Roadways,Yes,Working Class,No
0.79,40,17,81070,Bronze,307.47,36.32,No,Yes,Yes,Airways,No,Wealthy,No
0.6,41,9,995706,Marble,1401.65,60.5,No,No,No,Roadways,Yes,Working Class,No
,,6,86607,Marble,148.56,92.07,No,No,No,Roadways,No,Working Class,No
0.16,44,20,1214,,3.85,10.86,Yes,No,No,Waterways,No,Wealthy,No
0.9,20,15,3145,Clay,6.38,22.41,No,Yes,No,,Yes,Working Class,No
0.4,18,9,1802,Clay,6.85,22.63,No,Yes,Yes,Airways,Yes,Working Class,No
0.17,4,4,578,Stone,4.31,10.74,Yes,No,Yes,Airways,No,Wealthy,No
0.02,12,8,27948,Stone,26.89,66.91,Yes,Yes,Yes,Airways,No,Wealthy,No
0.02,30,12,1039949,Stone,2181.94,42.73,No,Yes,Yes,Airways,No,Wealthy,No
,7,,44,Wood,3.07,16.54,No,No,Yes,,No,Working Class,No
0.75,46,,1329,Aluminium,3.51,14.74,Yes,Yes,No,Airways,No,Working Class,No
0.35,73,36,5072,Wood,10.46,96.49,Yes,Yes,No,Airways,No,Working Class,No
0.08,9,5,278,,4.69,20.78,Yes,Yes,No,,Yes,Wealthy,
0.34,31,18,10691,Clay,19.86,29.47,Yes,No,No,Airways,Yes,Working Class,No
0.56,40,10,1255942,Marble,3556.59,36.01,No,Yes,No,Airways,Yes,Working Class,No
0.54,29,11,269716,Marble,2079.33,62.07,No,No,Yes,Roadways,No,Working Class,Yes
0.2,24,9,311,Wood,5.67,11.92,Yes,Yes,No,Airways,No,Wealthy,No
0.42,37,14,395,Wood,5.43,18.45,Yes,Yes,No,Airways,No,Wealthy,No
0.31,,8,10271,Brass,21.05,98.17,No,Yes,No,Roadways,No,Working Class,No
,26,10,,Bronze,11.48,98.5,Yes,No,Yes,Airways,No,Wealthy,
0.46,20,11,,Wood,4.37,12.94,No,No,Yes,Waterways,No,Working Class,No
0.15,25,18,1011,,3.14,15.45,No,No,No,Roadways,No,Working Class,No
0.6,16,8,7766,Brass,23.43,46.04,No,Yes,No,,No,Working Class,
0.37,44,22,1521,Wood,10.05,14.24,Yes,No,No,Waterways,No,Wealthy,Yes
0.64,43,,9579,Clay,6.18,62.35,No,No,No,,Yes,Working Class,
,7,4,2056,Marble,6.92,18.02,No,No,No,,No,Working Class,No
0.4,3,3,11,Wood,5.2,22.44,No,No,Yes,Roadways,No,Working Class,Yes
0.21,31,10,702304,Marble,2867.68,92.58,Yes,Yes,Yes,Airways,No,Wealthy,No
0.97,23,6,96126,Marble,573.69,46.42,Yes,No,No,Airways,No,Working Class,No
0.42,4,4,1076,Stone,3.25,11.36,No,Yes,No,Airways,No,Working Class,No
0.6,27,13,29541,Bronze,124.96,74.15,Yes,No,Yes,Airways,No,Working Class,No
,17,6,433,Aluminium,6.97,19.75,Yes,Yes,Yes,Airways,No,Wealthy,No
0.47,11,6,1784,Bronze,5.62,18.12,Yes,No,No,Airways,No,Working Class,No
0.56,12,8,177,Wood,4.19,23.7,Yes,Yes,No,,No,Wealthy,Yes
0.38,30,16,2490,Aluminium,5.6,15.92,Yes,No,No,Waterways,No,Working Class,No
0.35,29,18,62230,Brass,161.56,86.46,No,Yes,No,Roadways,No,Working Class,No
,31,,,Aluminium,9.55,20.02,No,No,Yes,Waterways,No,Working Class,No
0.31,28,13,521865,Stone,1655.68,71.33,No,Yes,No,Airways,No,Working Class,No
0.38,16,6,36018,Marble,126.35,81.79,No,Yes,No,,No,Working Class,No
0.01,6,5,26,Wood,6.1,24.04,Yes,Yes,No,Airways,No,Wealthy,No
0.3,24,8,384,Wood,4.77,11.71,No,Yes,No,,No,Wealthy,Yes
0.67,44,7,1864,Aluminium,4.51,14.33,Yes,No,Yes,Waterways,No,Working Class,Yes
0.66,,13,749,Wood,5,24.55,Yes,No,Yes,Waterways,No,Working Class,No
0.01,30,8,,Brass,36.08,79.76,No,No,Yes,Airways,No,Working Class,
0.44,,,4423,Bronze,7.69,22.62,No,Yes,No,Airways,No,Working Class,No
0.66,14,6,,Brass,5.91,16.06,No,No,No,Waterways,No,Working Class,
0.97,37,7,2794,Clay,8.64,21.43,Yes,No,No,,Yes,Working Class,No
,26,8,4711,Bronze,18.93,15.2,Yes,Yes,No,,No,Wealthy,Yes
0.2,13,7,560,Aluminium,5.64,12.78,No,Yes,Yes,Roadways,No,Wealthy,No
0.33,26,13,1362733,Stone,1709.47,33.62,Yes,Yes,No,Airways,No,Working Class,No
0.98,21,9,860,Aluminium,5.11,12.58,No,No,No,Roadways,No,Wealthy,No
0.73,33,15,26774,Bronze,248.72,36.43,No,No,No,Roadways,No,Working Class,No
,29,10,1704,Clay,9.69,20.72,No,No,No,Roadways,Yes,Working Class,No
0.56,24,12,2234,Aluminium,13.67,22.68,No,No,No,Roadways,No,Working Class,No
0.71,9,4,128,Clay,3.15,17.43,Yes,No,Yes,Waterways,Yes,Working Class,
0.17,45,12,3446844,Stone,5692.8,54.66,Yes,No,No,Waterways,No,Working Class,No
,3,3,4,Wood,5.14,11.41,Yes,Yes,No,,No,Wealthy,No
0.87,28,11,1415173,Stone,12222.32,64.55,No,No,Yes,Waterways,No,Working Class,Yes
0.81,19,9,404,,6.57,17.23,Yes,No,No,Airways,No,Working Class,No
0.6,24,6,3432,Bronze,7.76,20.62,Yes,No,No,,No,Working Class,No
0.42,13,6,51759,Stone,86.83,99.95,No,No,No,Waterways,No,Working Class,No
0.6,,11,3232,,17.51,13.31,Yes,No,No,Airways,No,Working Class,Yes
0.94,30,13,996709,Marble,5519.02,53.47,Yes,No,Yes,Airways,No,Working Class,No
,9,5,184,Clay,5.76,14.5,No,Yes,Yes,Airways,Yes,Working Class,Yes
0.08,9,5,40,Wood,6.61,23.57,No,No,No,Airways,No,Working Class,No
0.05,28,13,4199,Clay,5.79,17.42,No,Yes,Yes,Roadways,Yes,Working Class,No
0.5,30,9,589,Wood,3.3,13.94,Yes,No,Yes,Waterways,No,Wealthy,
0.82,16,7,111795,Stone,616.48,59.84,No,No,No,Roadways,No,Working Class,No
,3,3,134,Marble,3.45,17.64,No,No,No,,No,Working Class,
0.29,26,7,226558,,771.95,97.4,No,Yes,No,Airways,No,Wealthy,No
0.69,7,5,,Clay,3.31,13.45,No,No,No,Roadways,Yes,Working Class,No
0.39,5,4,343,Brass,4.87,19.53,Yes,No,Yes,Waterways,No,Working Class,No
0.17,36,11,1328104,Stone,3706.96,87.81,Yes,Yes,Yes,,No,Working Class,No
0.05,32,6,305949,Stone,158.34,89.24,No,No,Yes,Roadways,No,Working Class,No
0.19,19,,4294,,5.87,11.99,Yes,No,Yes,,No,Working Class,
0.4,15,8,830,Clay,5.05,24.51,Yes,Yes,No,Airways,Yes,Wealthy,No
0.16,30,14,,Wood,3.54,13.28,No,No,No,,No,Working Class,No
0.43,18,12,11310,Bronze,44.23,98.12,No,No,No,Waterways,No,Working Class,No
0.67,22,8,1603,Clay,6.41,12.51,Yes,Yes,Yes,Airways,Yes,Working Class,No
,12,,614,Clay,6.27,18.44,No,Yes,No,Airways,Yes,Wealthy,Yes
0.73,30,9,990084,Stone,3096.24,91.59,No,No,No,Roadways,No,Working Class,No
0.32,12,6,595,Clay,5.37,11.4,Yes,Yes,No,Airways,Yes,Working Class,No
0.2,13,8,91912,Stone,196.69,74.79,Yes,No,Yes,Roadways,No,Wealthy,No
,51,16,1396,,6.98,21.47,Yes,No,No,Roadways,No,Working Class,No
0.99,10,4,971,Brass,5.34,11.82,No,Yes,No,Airways,No,Wealthy,No
0.56,22,17,533,Wood,4.24,23.55,Yes,No,No,Airways,No,Working Class,No
0.33,14,6,398,Clay,3.31,24.88,Yes,No,No,Roadways,Yes,Working Class,No
0.76,9,5,218,Clay,5.5,16.26,No,No,Yes,Airways,Yes,Working Class,Yes
0.52,20,7,113230,,128.72,25.93,No,No,No,,No,Working Class,No
0.36,9,5,256,Clay,5.98,18.93,No,No,Yes,Airways,Yes,Working Class,No
,41,12,1884,,3.02,15.8,No,Yes,No,Roadways,No,Wealthy,No
0.31,17,,,Clay,6.26,14.06,Yes,Yes,Yes,Airways,Yes,Working Class,
0.63,27,,578,,3.44,15.38,No,No,Yes,Roadways,No,Working Class,No
0.25,4,3,6,,4.63,18.32,No,Yes,Yes,,No,Working Class,No
0.61,28,7,5943,Brass,19.62,51.39,No,No,Yes,Roadways,No,Working Class,Yes
0.9,33,14,938495,Marble,5518.48,85.45,Yes,No,Yes,Airways,No,Working Class,No
0.41,19,9,7649,Bronze,9.16,89.66,No,Yes,Yes,Roadways,No,Wealthy,No
0.82,27,9,28409,Brass,65.19,31.22,Yes,No,Yes,Waterways,No,Working Class,No
0.12,6,5,2420,Marble,4.33,16.69,No,Yes,No,Roadways,No,Wealthy,No
0.86,11,7,408,Aluminium,6.59,14.64,No,Yes,Yes,Roadways,No,Working Class,No
,12,,,Stone,55.2,59.48,No,Yes,Yes,,No,Wealthy,No
0.07,10,,12528,Stone,19,32.3,Yes,No,No,Airways,No,Working Class,
0.77,,13,404,,4.9,22.51,No,Yes,No,Airways,No,Working Class,Yes
0.06,16,7,,Bronze,5.18,22.37,No,No,No,Airways,No,Wealthy,Yes
0.04,21,11,343,,4.5,11.08,No,No,No,,No,Wealthy,No
0.15,8,5,64,Wood,6.49,11.76,No,Yes,Yes,Roadways,No,Wealthy,Yes
,18,,545,Aluminium,3.21,16.79,Yes,Yes,Yes,Airways,No,Working Class,No
0.87,24,7,986,Aluminium,5.9,21.92,No,Yes,Yes,,No,Wealthy,Yes
0.32,16,7,180,Wood,6.73,16.07,Yes,No,No,Waterways,No,Working Class,No
0.03,29,14,5376,Clay,6.41,27.18,No,No,Yes,Waterways,Yes,Working Class,No
0.11,42,15,1266,Wood,5.15,11.89,No,No,Yes,Roadways,No,Working Class,No
0.19,6,4,48,Wood,4.75,10.1,No,No,No,Roadways,No,Working Class,
0.75,,15,737276,Marble,473.64,84.64,Yes,Yes,Yes,Airways,No,Working Class,No
0.98,26,9,215,Wood,5.99,23.98,No,No,No,Waterways,No,Working Class,No
,38,10,1166878,Stone,3107.87,88.29,Yes,Yes,Yes,Airways,No,Working Class,No
0.02,28,14,1164,Aluminium,5.88,10.23,No,Yes,No,Roadways,No,Wealthy,No
0.48,17,9,6285,Brass,17.64,67.04,No,No,Yes,Waterways,No,Working Class,No
0.15,3,2,17,Bronze,5.86,24.8,No,Yes,Yes,,No,Wealthy,No
0.53,30,6,840,Aluminium,5.94,14.62,Yes,No,No,Waterways,No,Working Class,Yes
0.52,32,22,9773200,Stone,37746.96,90.52,No,Yes,No,Roadways,No,Wealthy,Yes
0.89,26,6,4754,Bronze,15.87,14.29,Yes,No,Yes,Waterways,No,Working Class,No
0.36,20,11,313206,Marble,507.97,98.76,Yes,No,No,,No,Working Class,No
1,29,11,454331,Marble,2873.59,93.7,No,No,No,Waterways,No,Wealthy,No
0.9,32,7,456780,Stone,1707.88,84.82,Yes,No,No,Roadways,No,Working Class,
0.93,25,12,440,Wood,4.08,19.43,No,Yes,Yes,Airways,No,Working Class,No
,26,10,,Aluminium,5.65,19.49,Yes,Yes,Yes,Airways,No,Wealthy,Yes
0.79,34,21,7960494,Stone,21169.9,84,No,No,No,Roadways,No,Working Class,No
0.88,12,7,74,Wood,5.89,10.93,Yes,No,No,Roadways,No,Working Class,
